name,ring,quadrant,isNew,description
,Ring 1,Engineering,FALSE,
Version control for all production artifacts,Ring 2,Engineering,FALSE,"Version control is the use of a version control system, such as GitHub or Subversion, for all production artifacts, including application code, application configurations, system configurations, and scripts for automating build and configuration of the environment"
Automate deployment process,Ring 2,Engineering,FALSE,<p>This is the description</p>
Implement Continuous Integration,Ring 2,Engineering,FALSE,
Trunk-based development,Ring 2,Engineering,FALSE,
Test Automation,Ring 2,Engineering,FALSE,
Test data management,Ring 2,Engineering,FALSE,
Shift left on security,Ring 2,Engineering,FALSE,
Implement Continuous Delivery,Ring 2,Engineering,FALSE,
Loosely coupled,Ring 2,Engineering,FALSE,
Empowered teams choose the right tool for the job,Ring 2,Engineering,FALSE,
Gather and implement customer feedback,Ring 2,Product,FALSE,
Make flow of work visible throughout the value stream,Ring 2,Lean,FALSE,
"work in small batches but avoid ""work break down""",Ring 2,Lean,FALSE,
Foster and enable team experimentation,Ring 2,Product,FALSE,
Lighweight change approval process,Ring 2,Lean,FALSE,
Monitor across app/nfra to inform business decisions,Ring 2,Engineering,FALSE,
Check system health proactively,Ring 2,Engineering,FALSE,
Improve process and manage work with WIP limits,Ring 2,Lean,FALSE,
Visualize work to monitor quality and communicatio throughout team,Ring 2,Lean,FALSE,
Support a generative culture,Ring 2,Culture,FALSE,
Encourage and support learning,Ring 2,Culture,FALSE,
Support and facilitate collaboratoin among teams,Ring 2,Culture,FALSE,
Provide tools and resources that make work more meaningful,Ring 2,Culture,FALSE,
Support or embody transformational leadership,Ring 2,Culture,FALSE,
Responsibility Process,Ring 2,Culture,FALSE,
Outcomes over Outputs,Ring 2,Product,FALSE,
OKR,Ring 2,Product,FALSE,
Dual Track Agile,Ring 2,Product,FALSE,
Story Mapping,Ring 2,Product,FALSE,
Opportunity Canvas,Ring 2,Product,FALSE,
Jobs To be Done,Ring 2,Product,FALSE,
